match_id,match_url,player1,player1_score,player2_score,player2,number_of_turns,map
M416,https://boardgamearena.com/table?table=630686347,SQR_PI,121.0,84.0,one_more_try_plees,28.0,Outdoor Areas (2a)
M417,No hyperlink,maltman,0.0,0.0,duyanhcao,,
M418,https://boardgamearena.com/table?table=638866042,Arrigo II,96.0,116.0,ScientistOmni,29.0,Commercial Harbor (4a)
M419,https://boardgamearena.com/table?table=648276863,SirL,125.0,128.0,AdamHorton,30.0,Park Restaurant (5a)
M420,https://boardgamearena.com/table?table=644835885,rudaZz,72.0,113.0,one_more_try_plees,,Geographical Zoo (9)
M421,https://boardgamearena.com/table?table=630519730,SQR_PI,120.0,132.0,SzyBek,27.0,Ice Cream Parlors (7a)
M422,https://boardgamearena.com/table?table=637605660,GBLbeans,112.0,125.0,dwarvintime,30.0,Silver Lake (3a)
M423,https://boardgamearena.com/table?table=642251843,e-p-e,139.0,173.0,2win9,37.0,Silver Lake (3a)
M424,https://boardgamearena.com/table?table=648303621,extrazen,127.0,135.0,Gloriousbui,30.0,Silver Lake (3a)
M425,https://boardgamearena.com/table?table=640850767,Gloriousbui,104.0,119.0,SQR_PI,30.0,Hollywood Hills (8a)
M426,No hyperlink,GBLbeans,0.0,0.0,maltman,,
M427,https://boardgamearena.com/table?table=639817616,rudaZz,138.0,104.0,ScientistOmni,31.0,Observation Tower (1a)
M428,https://boardgamearena.com/table?table=631067618,SirL,148.0,112.0,duyanhcao,33.0,Silver Lake (3a)
M429,https://boardgamearena.com/table?table=641146310,AdamHorton,110.0,111.0,2win9,33.0,Observation Tower (1a)
M430,https://boardgamearena.com/table?table=635349156,dwarvintime,116.0,106.0,extrazen,29.0,Park Restaurant (5a)
M431,https://boardgamearena.com/table?table=641955729,Arrigo II,122.0,109.0,e-p-e,28.0,Silver Lake (3a)
M432,https://boardgamearena.com/table?table=630629058,SzyBek,89.0,107.0,one_more_try_plees,29.0,Observation Tower (1a)
M433,https://boardgamearena.com/table?table=640005036,one_more_try_plees,125.0,77.0,Gloriousbui,34.0,Hollywood Hills (8a)
M434,https://boardgamearena.com/table?table=639578349,AdamHorton,103.0,121.0,Arrigo II,27.0,Park Restaurant (5a)
M435,https://boardgamearena.com/table?table=637676169,duyanhcao,126.0,115.0,2win9,31.0,Commercial Harbor (4a)
M436,https://boardgamearena.com/table?table=640873867,dwarvintime,121.0,130.0,SQR_PI,27.0,Research Institute (6a)
M437,No hyperlink,maltman,0.0,0.0,extrazen,,
M438,No hyperlink,SirL,,,GBLbeans,,
M439,https://boardgamearena.com/table?table=636130503,rudaZz,124.0,110.0,SzyBek,30.0,Research Institute (6a)
M440,https://boardgamearena.com/table?table=640749847,e-p-e,117.0,126.0,ScientistOmni,26.0,Research Institute (6a)
M441,No hyperlink,AdamHorton,,,ScientistOmni,,
M442,No hyperlink,SQR_PI,0.0,0.0,maltman,,
M443,https://boardgamearena.com/table?table=647303667,SirL,103.0,123.0,extrazen,28.0,Hollywood Hills (8a)
M444,https://boardgamearena.com/table?table=640038482,Gloriousbui,123.0,104.0,SzyBek,30.0,Observation Tower (1a)
M445,No hyperlink,GBLbeans,,,2win9,,
M446,https://boardgamearena.com/table?table=641321396,duyanhcao,116.0,107.0,Arrigo II,32.0,Hollywood Hills (8a)
M447,No hyperlink,e-p-e,,,rudaZz,,
M448,https://boardgamearena.com/table?table=641187463,one_more_try_plees,62.0,114.0,dwarvintime,27.0,Observation Tower (1a)
M449,https://boardgamearena.com/table?table=640931967,AdamHorton,126.0,127.0,e-p-e,32.0,Geographical Zoo (9)
M450,No hyperlink,maltman,0.0,0.0,one_more_try_plees,,
M451,https://boardgamearena.com/table?table=648221757,SQR_PI,124.0,108.0,SirL,30.0,Silver Lake (3a)
M452,No hyperlink,2win9,,,extrazen,,
M453,https://boardgamearena.com/table?table=648231698,Gloriousbui,120.0,131.0,rudaZz,27.0,Outdoor Areas (2a)
M454,No hyperlink,Arrigo II,,,GBLbeans,,
M455,https://boardgamearena.com/table?table=647518709,duyanhcao,101.0,108.0,ScientistOmni,29.0,Park Restaurant (5a)
M456,https://boardgamearena.com/table?table=640063322,dwarvintime,128.0,116.0,SzyBek,29.0,Research Institute (6a)
M457,https://boardgamearena.com/table?table=644865776,Gloriousbui,111.0,123.0,dwarvintime,29.0,Commercial Harbor (4a)
M458,https://boardgamearena.com/table?table=646340409,extrazen,120.0,120.0,Arrigo II,29.0,Ice Cream Parlors (7a)
M459,No hyperlink,SQR_PI,,,2win9,,
M460,https://boardgamearena.com/table?table=644363270,rudaZz,122.0,113.0,AdamHorton,27.0,Silver Lake (3a)
M461,No hyperlink,SzyBek,0.0,0.0,maltman,,
M462,https://boardgamearena.com/table?table=648075427,e-p-e,106.0,131.0,duyanhcao,,
M463,https://boardgamearena.com/table?table=644321114,SirL,134.0,114.0,one_more_try_plees,33.0,Commercial Harbor (4a)
M464,No hyperlink,GBLbeans,,,ScientistOmni,,
M465,https://boardgamearena.com/table?table=645426431,dwarvintime,112.0,127.0,rudaZz,29.0,Silver Lake (3a)
M466,No hyperlink,e-p-e,,,GBLbeans,,
M467,No hyperlink,ScientistOmni,,,extrazen,,
M468,No hyperlink,maltman,0.0,0.0,Gloriousbui,,
M469,https://boardgamearena.com/table?table=648256073,duyanhcao,121.0,63.0,AdamHorton,31.0,Park Restaurant (5a)
M470,No hyperlink,2win9,,,one_more_try_plees,,
M471,https://boardgamearena.com/table?table=646776034,SQR_PI,117.0,104.0,Arrigo II,26.0,Outdoor Areas (2a)
M472,https://boardgamearena.com/table?table=643000060,SzyBek,134.0,139.0,SirL,35.0,Ice Cream Parlors (7a)
M473,https://boardgamearena.com/table?table=647710593,SQR_PI,104.0,118.0,ScientistOmni,26.0,Silver Lake (3a)
M474,https://boardgamearena.com/table?table=648119241,e-p-e,103.0,117.0,extrazen,32.0,
M475,https://boardgamearena.com/table?table=648177830,rudaZz,100.0,128.0,duyanhcao,28.0,Research Institute (6a)
M476,No hyperlink,dwarvintime,0.0,0.0,maltman,,
M477,No hyperlink,SzyBek,,,2win9,,
M478,https://boardgamearena.com/table?table=646295010,Arrigo II,127.0,115.0,one_more_try_plees,31.0,Outdoor Areas (2a)
M479,No hyperlink,GBLbeans,,,AdamHorton,,
M480,https://boardgamearena.com/table?table=647439500,Gloriousbui,136.0,142.0,SirL,31.0,Research Institute (6a)
